angle_of_attack_deg,spin_parameter,surface_orientation,cd,cl,cy,cm_pitch,cm_roll,cm_yaw,source
-40.0,0.2,body_z_is_top,1.1304666486883936,-0.9773843811168245,0.2,0.0,0.0,0.0,assumed
-40.0,0.3,body_z_is_top,1.1304666486883936,-0.9773843811168245,0.3,0.0,0.0,0.0,assumed
-40.0,0.5,body_z_is_top,1.1304666486883936,-0.9773843811168245,0.5,0.0,0.0,0.0,assumed
-40.0,1.0,body_z_is_top,1.1304666486883936,-0.9773843811168245,0.5,0.0,0.0,0.0,assumed
-35.0,0.0,body_z_is_top,1.0950648243207428,-0.8552113334772213,0.0,0.0,0.0,0.0,assumed
-35.0,0.05,body_z_is_top,1.0950648243207428,-0.8552113334772213,0.05,0.0,0.0,0.0,assumed
-35.0,0.1,body_z_is_top,1.0950648243207428,-0.8552113334772213,0.1,0.0,0.0,0.0,assumed
-35.0,0.2,body_z_is_top,1.0950648243207428,-0.8552113334772213,0.2,0.0,0.0,0.0,assumed
-35.0,0.3,body_z_is_top,1.0950648243207428,-0.8552113334772213,0.3,0.0,0.0,0.0,assumed
-35.0,0.5,body_z_is_top,1.0950648243207428,-0.8552113334772213,0.5,0.0,0.0,0.0,assumed
-35.0,1.0,body_z_is_top,1.0950648243207428,-0.8552113334772213,0.5,0.0,0.0,0.0,assumed
-30.0,0.0,body_z_is_top,1.0513288954217919,-0.7330382858376183,0.0,0.0,0.0,0.0,assumed
-30.0,0.05,body_z_is_top,1.0513288954217919,-0.7330382858376183,0.05,0.0,0.0,0.0,assumed
-30.0,0.1,body_z_is_top,1.0513288954217919,-0.7330382858376183,0.1,0.0,0.0,0.0,assumed
-30.0,0.2,body_z_is_top,1.0513288954217919,-0.7330382858376183,0.2,0.0,0.0,0.0,assumed
-30.0,0.3,body_z_is_top,1.0513288954217919,-0.7330382858376183,0.3,0.0,0.0,0.0,assumed
-30.0,0.5,body_z_is_top,1.0513288954217919,-0.7330382858376183,0.5,0.0,0.0,0.0,assumed
-30.0,1.0,body_z_is_top,1.0513288954217919,-0.7330382858376183,0.5,0.0,0.0,0.0,assumed
-25.0,0.0,body_z_is_top,0.9995917188189379,-0.6108652381980153,0.0,0.0,0.0,0.0,assumed
-25.0,0.05,body_z_is_top,0.9995917188189379,-0.6108652381980153,0.05,0.0,0.0,0.0,assumed
-25.0,0.1,body_z_is_top,0.9995917188189379,-0.6108652381980153,0.1,0.0,0.0,0.0,assumed
-25.0,0.2,body_z_is_top,0.9995917188189379,-0.6108652381980153,0.2,0.0,0.0,0.0,assumed
-25.0,0.3,body_z_is_top,0.9995917188189379,-0.6108652381980153,0.3,0.0,0.0,0.0,assumed
-25.0,0.5,body_z_is_top,0.9995917188189379,-0.6108652381980153,0.5,0.0,0.0,0.0,assumed
-25.0,1.0,body_z_is_top,0.9995917188189379,-0.6108652381980153,0.5,0.0,0.0,0.0,assumed
-20.0,0.0,body_z_is_top,0.9402470456658897,-0.48869219055841223,0.0,0.0,0.0,0.0,assumed
-20.0,0.05,body_z_is_top,0.9402470456658897,-0.48869219055841223,0.05,0.0,0.0,0.0,assumed
-20.0,0.1,body_z_is_top,0.9402470456658897,-0.48869219055841223,0.1,0.0,0.0,0.0,assumed
-20.0,0.2,body_z_is_top,0.9402470456658897,-0.48869219055841223,0.2,0.0,0.0,0.0,assumed
-20.0,0.3,body_z_is_top,0.9402470456658897,-0.48869219055841223,0.3,0.0,0.0,0.0,assumed
-20.0,0.5,body_z_is_top,0.9402470456658897,-0.48869219055841223,0.5,0.0,0.0,0.0,assumed
-20.0,1.0,body_z_is_top,0.9402470456658897,-0.48869219055841223,0.5,0.0,0.0,0.0,assumed
-15.0,0.0,body_z_is_top,0.8737465247586352,-0.36651914291880916,0.0,0.0,0.0,0.0,assumed
-15.0,0.05,body_z_is_top,0.8737465247586352,-0.36651914291880916,0.05,0.0,0.0,0.0,assumed
-15.0,0.1,body_z_is_top,0.8737465247586352,-0.36651914291880916,0.1,0.0,0.0,0.0,assumed
-15.0,0.2,body_z_is_top,0.8737465247586352,-0.36651914291880916,0.2,0.0,0.0,0.0,assumed
-15.0,0.3,body_z_is_top,0.8737465247586352,-0.36651914291880916,0.3,0.0,0.0,0.0,assumed
-15.0,0.5,body_z_is_top,0.8737465247586352,-0.36651914291880916,0.5,0.0,0.0,0.0,assumed
-15.0,1.0,body_z_is_top,0.8737465247586352,-0.36651914291880916,0.5,0.0,0.0,0.0,assumed
-10.0,0.0,body_z_is_top,0.8005962652153914,-0.24434609527920612,0.0,0.0,0.0,0.0,assumed
-10.0,0.05,body_z_is_top,0.8005962652153914,-0.24434609527920612,0.05,0.0,0.0,0.0,assumed
-10.0,0.1,body_z_is_top,0.8005962652153914,-0.24434609527920612,0.1,0.0,0.0,0.0,assumed
-10.0,0.2,body_z_is_top,0.8005962652153914,-0.24434609527920612,0.2,0.0,0.0,0.0,assumed
-10.0,0.3,body_z_is_top,0.8005962652153914,-0.24434609527920612,0.3,0.0,0.0,0.0,assumed
-10.0,0.5,body_z_is_top,0.8005962652153914,-0.24434609527920612,0.5,0.0,0.0,0.0,assumed
-10.0,1.0,body_z_is_top,0.8005962652153914,-0.24434609527920612,0.5,0.0,0.0,0.0,assumed
-5.0,0.0,body_z_is_top,0.7213529846806167,-0.12217304763960306,0.0,0.0,0.0,0.0,assumed
-5.0,0.05,body_z_is_top,0.7213529846806167,-0.12217304763960306,0.05,0.0,0.0,0.0,assumed
-5.0,0.1,body_z_is_top,0.7213529846806167,-0.12217304763960306,0.1,0.0,0.0,0.0,assumed
-5.0,0.2,body_z_is_top,0.7213529846806167,-0.12217304763960306,0.2,0.0,0.0,0.0,assumed
-5.0,0.3,body_z_is_top,0.7213529846806167,-0.12217304763960306,0.3,0.0,0.0,0.0,assumed
-5.0,0.5,body_z_is_top,0.7213529846806167,-0.12217304763960306,0.5,0.0,0.0,0.0,assumed
-5.0,1.0,body_z_is_top,0.7213529846806167,-0.12217304763960306,0.5,0.0,0.0,0.0,assumed
0.0,0.0,body_z_is_top,0.6366197723675814,0.0,0.0,0.0,0.0,0.0,assumed
0.0,0.05,body_z_is_top,0.6366197723675814,0.0,0.05,0.0,0.0,0.0,assumed
0.0,0.1,body_z_is_top,0.6366197723675814,0.0,0.1,0.0,0.0,0.0,assumed
0.0,0.2,body_z_is_top,0.6366197723675814,0.0,0.2,0.0,0.0,0.0,assumed
0.0,0.3,body_z_is_top,0.6366197723675814,0.0,0.3,0.0,0.0,0.0,assumed
0.0,0.5,body_z_is_top,0.6366197723675814,0.0,0.5,0.0,0.0,0.0,assumed
0.0,1.0,body_z_is_top,0.6366197723675814,0.0,0.5,0.0,0.0,0.0,assumed
5.0,0.0,body_z_is_top,0.7213529846806167,0.12217304763960306,0.0,0.0,0.0,0.0,assumed
5.0,0.05,body_z_is_top,0.7213529846806167,0.12217304763960306,0.05,0.0,0.0,0.0,assumed
5.0,0.1,body_z_is_top,0.7213529846806167,0.12217304763960306,0.1,0.0,0.0,0.0,assumed
5.0,0.2,body_z_is_top,0.7213529846806167,0.12217304763960306,0.2,0.0,0.0,0.0,assumed
5.0,0.3,body_z_is_top,0.7213529846806167,0.12217304763960306,0.3,0.0,0.0,0.0,assumed
5.0,0.5,body_z_is_top,0.7213529846806167,0.12217304763960306,0.5,0.0,0.0,0.0,assumed
5.0,1.0,body_z_is_top,0.7213529846806167,0.12217304763960306,0.5,0.0,0.0,0.0,assumed
10.0,0.0,body_z_is_top,0.8005962652153914,0.24434609527920612,0.0,0.0,0.0,0.0,assumed
10.0,0.05,body_z_is_top,0.8005962652153914,0.24434609527920612,0.05,0.0,0.0,0.0,assumed
10.0,0.1,body_z_is_top,0.8005962652153914,0.24434609527920612,0.1,0.0,0.0,0.0,assumed
10.0,0.2,body_z_is_top,0.8005962652153914,0.24434609527920612,0.2,0.0,0.0,0.0,assumed
10.0,0.3,body_z_is_top,0.8005962652153914,0.24434609527920612,0.3,0.0,0.0,0.0,assumed
10.0,0.5,body_z_is_top,0.8005962652153914,0.24434609527920612,0.5,0.0,0.0,0.0,assumed
10.0,1.0,body_z_is_top,0.8005962652153914,0.24434609527920612,0.5,0.0,0.0,0.0,assumed
15.0,0.0,body_z_is_top,0.8737465247586352,0.36651914291880916,0.0,0.0,0.0,0.0,assumed
15.0,0.05,body_z_is_top,0.8737465247586352,0.36651914291880916,0.05,0.0,0.0,0.0,assumed
15.0,0.1,body_z_is_top,0.8737465247586352,0.36651914291880916,0.1,0.0,0.0,0.0,assumed
15.0,0.2,body_z_is_top,0.8737465247586352,0.36651914291880916,0.2,0.0,0.0,0.0,assumed
15.0,0.3,body_z_is_top,0.8737465247586352,0.36651914291880916,0.3,0.0,0.0,0.0,assumed
15.0,0.5,body_z_is_top,0.8737465247586352,0.36651914291880916,0.5,0.0,0.0,0.0,assumed
15.0,1.0,body_z_is_top,0.8737465247586352,0.36651914291880916,0.5,0.0,0.0,0.0,assumed
20.0,0.0,body_z_is_top,0.9402470456658897,0.48869219055841223,0.0,0.0,0.0,0.0,assumed
20.0,0.05,body_z_is_top,0.9402470456658897,0.48869219055841223,0.05,0.0,0.0,0.0,assumed
20.0,0.1,body_z_is_top,0.9402470456658897,0.48869219055841223,0.1,0.0,0.0,0.0,assumed
20.0,0.2,body_z_is_top,0.9402470456658897,0.48869219055841223,0.2,0.0,0.0,0.0,assumed
20.0,0.3,body_z_is_top,0.9402470456658897,0.48869219055841223,0.3,0.0,0.0,0.0,assumed
20.0,0.5,body_z_is_top,0.9402470456658897,0.48869219055841223,0.5,0.0,0.0,0.0,assumed
20.0,1.0,body_z_is_top,0.9402470456658897,0.48869219055841223,0.5,0.0,0.0,0.0,assumed
25.0,0.0,body_z_is_top,0.9995917188189379,0.6108652381980153,0.0,0.0,0.0,0.0,assumed
25.0,0.05,body_z_is_top,0.9995917188189379,0.6108652381980153,0.05,0.0,0.0,0.0,assumed
25.0,0.1,body_z_is_top,0.9995917188189379,0.6108652381980153,0.1,0.0,0.0,0.0,assumed
25.0,0.2,body_z_is_top,0.9995917188189379,0.6108652381980153,0.2,0.0,0.0,0.0,assumed
25.0,0.3,body_z_is_top,0.9995917188189379,0.6108652381980153,0.3,0.0,0.0,0.0,assumed
25.0,0.5,body_z_is_top,0.9995917188189379,0.6108652381980153,0.5,0.0,0.0,0.0,assumed
25.0,1.0,body_z_is_top,0.9995917188189379,0.6108652381980153,0.5,0.0,0.0,0.0,assumed
30.0,0.0,body_z_is_top,1.0513288954217919,0.7330382858376183,0.0,0.0,0.0,0.0,assumed
30.0,0.05,body_z_is_top,1.0513288954217919,0.7330382858376183,0.05,0.0,0.0,0.0,assumed
30.0,0.1,body_z_is_top,1.0513288954217919,0.7330382858376183,0.1,0.0,0.0,0.0,assumed
30.0,0.2,body_z_is_top,1.0513288954217919,0.7330382858376183,0.2,0.0,0.0,0.0,assumed
30.0,0.3,body_z_is_top,1.0513288954217919,0.7330382858376183,0.3,0.0,0.0,0.0,assumed
30.0,0.5,body_z_is_top,1.0513288954217919,0.7330382858376183,0.5,0.0,0.0,0.0,assumed
30.0,1.0,body_z_is_top,1.0513288954217919,0.7330382858376183,0.5,0.0,0.0,0.0,assumed
35.0,0.0,body_z_is_top,1.0950648243207428,0.8552113334772213,0.0,0.0,0.0,0.0,assumed
35.0,0.05,body_z_is_top,1.0950648243207428,0.8552113334772213,0.05,0.0,0.0,0.0,assumed
35.0,0.1,body_z_is_top,1.0950648243207428,0.8552113334772213,0.1,0.0,0.0,0.0,assumed
35.0,0.2,body_z_is_top,1.0950648243207428,0.8552113334772213,0.2,0.0,0.0,0.0,assumed
35.0,0.3,body_z_is_top,1.0950648243207428,0.8552113334772213,0.3,0.0,0.0,0.0,assumed
35.0,0.5,body_z_is_top,1.0950648243207428,0.8552113334772213,0.5,0.0,0.0,0.0,assumed
35.0,1.0,body_z_is_top,1.0950648243207428,0.8552113334772213,0.5,0.0,0.0,0.0,assumed
40.0,0.0,body_z_is_top,1.1304666486883936,0.9773843811168245,0.0,0.0,0.0,0.0,assumed
40.0,0.05,body_z_is_top,1.1304666486883936,0.9773843811168245,0.05,0.0,0.0,0.0,assumed
40.0,0.1,body_z_is_top,1.1304666486883936,0.9773843811168245,0.1,0.0,0.0,0.0,assumed
40.0,0.2,body_z_is_top,1.1304666486883936,0.9773843811168245,0.2,0.0,0.0,0.0,assumed
40.0,0.3,body_z_is_top,1.1304666486883936,0.9773843811168245,0.3,0.0,0.0,0.0,assumed
40.0,0.5,body_z_is_top,1.1304666486883936,0.9773843811168245,0.5,0.0,0.0,0.0,assumed
40.0,1.0,body_z_is_top,1.1304666486883936,0.9773843811168245,0.5,0.0,0.0,0.0,assumed
45.0,0.0,body_z_is_top,1.1572649392651007,0.879645943005142,0.0,0.0,0.0,0.0,assumed
45.0,0.05,body_z_is_top,1.1572649392651007,0.879645943005142,0.05,0.0,0.0,0.0,assumed
45.0,0.1,body_z_is_top,1.1572649392651007,0.879645943005142,0.1,0.0,0.0,0.0,assumed
45.0,0.2,body_z_is_top,1.1572649392651007,0.879645943005142,0.2,0.0,0.0,0.0,assumed
45.0,0.3,body_z_is_top,1.1572649392651007,0.879645943005142,0.3,0.0,0.0,0.0,assumed
45.0,0.5,body_z_is_top,1.1572649392651007,0.879645943005142,0.5,0.0,0.0,0.0,assumed
45.0,1.0,body_z_is_top,1.1572649392651007,0.879645943005142,0.5,0.0,0.0,0.0,assumed
50.0,0.0,body_z_is_top,1.1752557448783245,0.7819075048934595,0.0,0.0,0.0,0.0,assumed
50.0,0.05,body_z_is_top,1.1752557448783245,0.7819075048934595,0.05,0.0,0.0,0.0,assumed
50.0,0.1,body_z_is_top,1.1752557448783245,0.7819075048934595,0.1,0.0,0.0,0.0,assumed
50.0,0.2,body_z_is_top,1.1752557448783245,0.7819075048934595,0.2,0.0,0.0,0.0,assumed
50.0,0.3,body_z_is_top,1.1752557448783245,0.7819075048934595,0.3,0.0,0.0,0.0,assumed
50.0,0.5,body_z_is_top,1.1752557448783245,0.7819075048934595,0.5,0.0,0.0,0.0,assumed
50.0,1.0,body_z_is_top,1.1752557448783245,0.7819075048934595,0.5,0.0,0.0,0.0,assumed
55.0,0.0,body_z_is_top,1.1843021446342032,0.6841690667817771,0.0,0.0,0.0,0.0,assumed
55.0,0.05,body_z_is_top,1.1843021446342032,0.6841690667817771,0.05,0.0,0.0,0.0,assumed
55.0,0.1,body_z_is_top,1.1843021446342032,0.6841690667817771,0.1,0.0,0.0,0.0,assumed
55.0,0.2,body_z_is_top,1.1843021446342032,0.6841690667817771,0.2,0.0,0.0,0.0,assumed
55.0,0.3,body_z_is_top,1.1843021446342032,0.6841690667817771,0.3,0.0,0.0,0.0,assumed
55.0,0.5,body_z_is_top,1.1843021446342032,0.6841690667817771,0.5,0.0,0.0,0.0,assumed
55.0,1.0,body_z_is_top,1.1843021446342032,0.6841690667817771,0.5,0.0,0.0,0.0,assumed
60.0,0.0,body_z_is_top,1.1843352899682293,0.5864306286700948,0.0,0.0,0.0,0.0,assumed
60.0,0.05,body_z_is_top,1.1843352899682293,0.5864306286700948,0.05,0.0,0.0,0.0,assumed
60.0,0.1,body_z_is_top,1.1843352899682293,0.5864306286700948,0.1,0.0,0.0,0.0,assumed
60.0,0.2,body_z_is_top,1.1843352899682293,0.5864306286700948,0.2,0.0,0.0,0.0,assumed
60.0,0.3,body_z_is_top,1.1843352899682293,0.5864306286700948,0.3,0.0,0.0,0.0,assumed
60.0,0.5,body_z_is_top,1.1843352899682293,0.5864306286700948,0.5,0.0,0.0,0.0,assumed
60.0,1.0,body_z_is_top,1.1843352899682293,0.5864306286700948,0.5,0.0,0.0,0.0,assumed
65.0,0.0,body_z_is_top,1.175354928624397,0.4886921905584122,0.0,0.0,0.0,0.0,assumed
65.0,0.05,body_z_is_top,1.175354928624397,0.4886921905584122,0.05,0.0,0.0,0.0,assumed
65.0,0.1,body_z_is_top,1.175354928624397,0.4886921905584122,0.1,0.0,0.0,0.0,assumed
65.0,0.2,body_z_is_top,1.175354928624397,0.4886921905584122,0.2,0.0,0.0,0.0,assumed
65.0,0.3,body_z_is_top,1.175354928624397,0.4886921905584122,0.3,0.0,0.0,0.0,assumed
65.0,0.5,body_z_is_top,1.175354928624397,0.4886921905584122,0.5,0.0,0.0,0.0,assumed
65.0,1.0,body_z_is_top,1.175354928624397,0.4886921905584122,0.5,0.0,0.0,0.0,assumed
70.0,0.0,body_z_is_top,1.1574294065750232,0.39095375244672986,0.0,0.0,0.0,0.0,assumed
70.0,0.05,body_z_is_top,1.1574294065750232,0.39095375244672986,0.05,0.0,0.0,0.0,assumed
70.0,0.1,body_z_is_top,1.1574294065750232,0.39095375244672986,0.1,0.0,0.0,0.0,assumed
70.0,0.2,body_z_is_top,1.1574294065750232,0.39095375244672986,0.2,0.0,0.0,0.0,assumed
70.0,0.3,body_z_is_top,1.1574294065750232,0.39095375244672986,0.3,0.0,0.0,0.0,assumed
70.0,0.5,body_z_is_top,1.1574294065750232,0.39095375244672986,0.5,0.0,0.0,0.0,assumed
70.0,1.0,body_z_is_top,1.1574294065750232,0.39095375244672986,0.5,0.0,0.0,0.0,assumed
75.0,0.0,body_z_is_top,1.1306951478666298,0.2932153143350472,0.0,0.0,0.0,0.0,assumed
75.0,0.05,body_z_is_top,1.1306951478666298,0.2932153143350472,0.05,0.0,0.0,0.0,assumed
75.0,0.1,body_z_is_top,1.1306951478666298,0.2932153143350472,0.1,0.0,0.0,0.0,assumed
75.0,0.2,body_z_is_top,1.1306951478666298,0.2932153143350472,0.2,0.0,0.0,0.0,assumed
75.0,0.3,body_z_is_top,1.1306951478666298,0.2932153143350472,0.3,0.0,0.0,0.0,assumed
75.0,0.5,body_z_is_top,1.1306951478666298,0.2932153143350472,0.5,0.0,0.0,0.0,assumed
75.0,1.0,body_z_is_top,1.1306951478666298,0.2932153143350472,0.5,0.0,0.0,0.0,assumed
80.0,0.0,body_z_is_top,1.0953556163505744,0.19547687622336493,0.0,0.0,0.0,0.0,assumed
80.0,0.05,body_z_is_top,1.0953556163505744,0.19547687622336493,0.05,0.0,0.0,0.0,assumed
80.0,0.1,body_z_is_top,1.0953556163505744,0.19547687622336493,0.1,0.0,0.0,0.0,assumed
80.0,0.2,body_z_is_top,1.0953556163505744,0.19547687622336493,0.2,0.0,0.0,0.0,assumed
80.0,0.3,body_z_is_top,1.0953556163505744,0.19547687622336493,0.3,0.0,0.0,0.0,assumed
80.0,0.5,body_z_is_top,1.0953556163505744,0.19547687622336493,0.5,0.0,0.0,0.0,assumed
80.0,1.0,body_z_is_top,1.0953556163505744,0.19547687622336493,0.5,0.0,0.0,0.0,assumed
85.0,0.0,body_z_is_top,1.051679767200287,0.09773843811168233,0.0,0.0,0.0,0.0,assumed
85.0,0.05,body_z_is_top,1.051679767200287,0.09773843811168233,0.05,0.0,0.0,0.0,assumed
85.0,0.1,body_z_is_top,1.051679767200287,0.09773843811168233,0.1,0.0,0.0,0.0,assumed
85.0,0.2,body_z_is_top,1.051679767200287,0.09773843811168233,0.2,0.0,0.0,0.0,assumed
85.0,0.3,body_z_is_top,1.051679767200287,0.09773843811168233,0.3,0.0,0.0,0.0,assumed
85.0,0.5,body_z_is_top,1.051679767200287,0.09773843811168233,0.5,0.0,0.0,0.0,assumed
85.0,1.0,body_z_is_top,1.051679767200287,0.09773843811168233,0.5,0.0,0.0,0.0,assumed
90.0,0.0,body_z_is_top,1.0,0.0,0.0,0.0,0.0,0.0,assumed
90.0,0.05,body_z_is_top,1.0,0.0,0.05,0.0,0.0,0.0,assumed
90.0,0.1,body_z_is_top,1.0,0.0,0.1,0.0,0.0,0.0,assumed
90.0,0.2,body_z_is_top,1.0,0.0,0.2,0.0,0.0,0.0,assumed
